"","SPY","AAPL"
"2001-01-03",0.0480349304599993,0.100840989146383
"2001-01-04",-0.0107644490257791,0.0419843605888326
"2001-01-05",-0.0326424850475985,-0.0402926974499953
"2001-01-08",0.00774069358644116,0.0114504490363066
"2001-01-09",-0.00264077517563597,0.0377357624243894
"2001-01-10",0.0175695501190862,-0.036363555917385
"2001-01-11",0.000946075863629968,0.0867923454062428
"2001-01-12",-0.00189036330016801,-0.0451388742193579
"2001-01-16",0.00639170206848482,-0.00363697502787468
"2001-01-17",0.0045872720934978,-0.0182477019405835
"2001-01-18",0.00995188115195976,0.111523931521869
"2001-01-19",-0.0056803923046348,0.0434782608695652
"2001-01-22",0.00664557281516504,-0.012820332827914
"2001-01-23",0.0078758447267654,0.0649349315420248
"2001-01-24",0.00298815369546929,0
"2001-01-25",-0.00252095999654579,-0.0274391940367384
"2001-01-26",-0.00114829415369031,-0.0188088969988611
"2001-01-29",0.0053358238441,0.108626642710033
"2001-01-30",0.00878475471369667,0.00288162813041323
"2001-01-31",-0.00566036321220753,-0.00574739570039697
